Filename	Nr. Measurements before cleaning	Nr. Measurements after cleaning	% Full analysis	Analysis by	% IT analysis	% MAD analysis	% Consecutive cells	MAD	IT limit	Consecutive bins	Events per bin	Increasing/Decreasing channel
001_comp_trans.fcs	97945	97945	0	all	0	0	0	6	0.55	5	500	No increasing or decreasing effect
002_comp_trans.fcs	202971	185721	8.49875105310611	all	0	8.49875105310611	0	6	0.55	5	1500	No increasing or decreasing effect
003_comp_trans.fcs	135179	124679	7.76747867642163	all	5.54819905458688	4.62349921215573	0	6	0.55	5	500	No increasing or decreasing effect
004_comp_trans.fcs	249904	249750	0.0616236634867789	all	0.0616236634867789	0	0	6	0.55	5	1500	No increasing or decreasing effect
005_comp_trans.fcs	72341	65341	9.67639374628496	all	0	9.67639374628496	0	6	0.55	5	500	No increasing or decreasing effect
006_comp_trans.fcs	282296	257546	8.76739309094001	all	0	8.76739309094001	0	6	0.55	5	1500	No increasing or decreasing effect
007_comp_trans.fcs	95222	88972	6.56360924996324	all	0	6.56360924996324	0	6	0.55	5	500	No increasing or decreasing effect
001_comp_trans.fcs	97945	97945	0	all	0	0	0	6	0.55	5	500	No increasing or decreasing effect
002_comp_trans.fcs	202971	185721	8.49875105310611	all	0	8.49875105310611	0	6	0.55	5	1500	No increasing or decreasing effect
003_comp_trans.fcs	135179	124679	7.76747867642163	all	5.54819905458688	4.62349921215573	0	6	0.55	5	500	No increasing or decreasing effect
004_comp_trans.fcs	249904	249750	0.0616236634867789	all	0.0616236634867789	0	0	6	0.55	5	1500	No increasing or decreasing effect
005_comp_trans.fcs	72341	65341	9.67639374628496	all	0	9.67639374628496	0	6	0.55	5	500	No increasing or decreasing effect
006_comp_trans.fcs	282296	257546	8.76739309094001	all	0	8.76739309094001	0	6	0.55	5	1500	No increasing or decreasing effect
007_comp_trans.fcs	95222	88972	6.56360924996324	all	0	6.56360924996324	0	6	0.55	5	500	No increasing or decreasing effect
008_comp_trans.fcs	167547	157547	5.96847451759805	all	0	5.96847451759805	0	6	0.55	5	1000	No increasing or decreasing effect
009_comp_trans.fcs	288604	269854	6.49679145126194	all	0	6.49679145126194	0	6	0.55	5	1500	No increasing or decreasing effect
010_comp_trans.fcs	472790	432790	8.46041582943802	all	0	8.46041582943802	0	6	0.55	5	2000	No increasing or decreasing effect
011_comp_trans.fcs	194047	193000	0.539560003504306	all	0.539560003504306	0	0	6	0.55	5	1000	No increasing or decreasing effect
012_comp_trans.fcs	129343	129343	0	all	0	0	0	6	0.55	5	500	No increasing or decreasing effect
013_comp_trans.fcs	60584	56084	7.42770368414103	all	0	7.42770368414103	0	6	0.55	5	500	No increasing or decreasing effect
014_comp_trans.fcs	603227	603227	0	all	0	0	0	6	0.55	5	2000	No increasing or decreasing effect
015_comp_trans.fcs	94557	92807	1.85073553517984	all	0	1.85073553517984	0	6	0.55	5	500	No increasing or decreasing effect
016_comp_trans.fcs	86382	78882	8.68236438146836	all	0	8.68236438146836	0	6	0.55	5	500	No increasing or decreasing effect
017_comp_trans.fcs	162212	156712	3.39062461470175	all	0	3.39062461470175	0	6	0.55	5	1000	No increasing or decreasing effect
018_comp_trans.fcs	27604	27604	0	all	NA	2.15186204897841	0	6	0.55	5	370	No increasing or decreasing effect
019_comp_trans.fcs	706309	656000	7.12280319237048	all	0	7.12280319237048	0	6	0.55	5	2000	No increasing or decreasing effect
020_comp_trans.fcs	158943	143943	9.43734546346804	all	0	9.43734546346804	0	6	0.55	5	1000	No increasing or decreasing effect
021_comp_trans.fcs	147555	147555	0	all	0	0	0	6	0.55	5	500	No increasing or decreasing effect
022_comp_trans.fcs	93550	93500	0.0534473543559594	all	0.0534473543559594	0	0	6	0.55	5	500	No increasing or decreasing effect
023_comp_trans.fcs	95508	95508	0	all	0	0	0	6	0.55	5	500	No increasing or decreasing effect
024_comp_trans.fcs	82555	82555	0	all	0	0	0	6	0.55	5	500	No increasing or decreasing effect
025_comp_trans.fcs	120658	110408	8.49508528236835	all	0	8.49508528236835	0	6	0.55	5	500	No increasing or decreasing effect
026_comp_trans.fcs	612758	612758	0	all	0	0	0	6	0.55	5	2000	No increasing or decreasing effect
027_comp_trans.fcs	652236	644000	1.2627331211402	all	0	1.2627331211402	0	6	0.55	5	2000	No increasing or decreasing effect
028_comp_trans.fcs	374778	340778	9.07203731275582	all	5.06966791006943	4.26919402953215	0	6	0.55	5	2000	No increasing or decreasing effect
029_comp_trans.fcs	94778	84500	10.8442887589947	all	0.0295427208845935	10.8147460381101	0	6	0.55	5	500	No increasing or decreasing effect
